# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	5.8163714e+18	2.0076049e-01
1.2715405e+04	2.4940056e+02	5.7712900e+18	1.9872680e-01
2.5400322e+04	2.4880256e+02	5.7266050e+18	1.9671532e-01
3.8054824e+04	2.4820599e+02	5.6823105e+18	1.9472572e-01
5.0678983e+04	2.4761085e+02	5.6384009e+18	1.9275770e-01
6.3272872e+04	2.4701714e+02	5.5948709e+18	1.9081094e-01
7.5836564e+04	2.4642485e+02	5.5517152e+18	1.8888514e-01
8.8370131e+04	2.4583398e+02	5.5089288e+18	1.8698001e-01
1.0087365e+05	2.4524453e+02	5.4665066e+18	1.8509527e-01
1.1334718e+05	2.4465649e+02	5.4244438e+18	1.8323063e-01
1.2579081e+05	2.4406986e+02	5.3827358e+18	1.8138582e-01
1.3820459e+05	2.4348464e+02	5.3413781e+18	1.7956058e-01
1.5058862e+05	2.4290082e+02	5.3003662e+18	1.7775465e-01
1.6294295e+05	2.4231840e+02	5.2596958e+18	1.7596777e-01
1.7526765e+05	2.4173738e+02	5.2193627e+18	1.7419970e-01
1.8756281e+05	2.4115775e+02	5.1793629e+18	1.7245019e-01
1.9982848e+05	2.4057951e+02	5.1396924e+18	1.7071901e-01
2.1206475e+05	2.4000266e+02	5.1003473e+18	1.6900592e-01
2.2427167e+05	2.3942719e+02	5.0613239e+18	1.6731070e-01
2.3644933e+05	2.3885310e+02	5.0226184e+18	1.6563312e-01
2.4859778e+05	2.3828039e+02	4.9842273e+18	1.6397297e-01
2.6071711e+05	2.3770905e+02	4.9461471e+18	1.6233002e-01
2.7280738e+05	2.3713908e+02	4.9083743e+18	1.6070409e-01
2.8486866e+05	2.3657048e+02	4.8709057e+18	1.5909494e-01
2.9690101e+05	2.3600324e+02	4.8337380e+18	1.5750240e-01
3.0890452e+05	2.3543736e+02	4.7968678e+18	1.5592625e-01
3.2087925e+05	2.3487283e+02	4.7602923e+18	1.5436631e-01
3.3282526e+05	2.3430966e+02	4.7240082e+18	1.5282238e-01
3.4474263e+05	2.3374784e+02	4.6880127e+18	1.5129428e-01
3.5663142e+05	2.3318737e+02	4.6523027e+18	1.4978182e-01
3.6849171e+05	2.3262825e+02	4.6168754e+18	1.4828483e-01
3.8032356e+05	2.3207046e+02	4.5817280e+18	1.4680312e-01
3.9212704e+05	2.3151401e+02	4.5468578e+18	1.4533652e-01
4.0390222e+05	2.3095889e+02	4.5122620e+18	1.4388486e-01
4.1564916e+05	2.3040511e+02	4.4779380e+18	1.4244798e-01
4.2736794e+05	2.2985265e+02	4.4438833e+18	1.4102570e-01
4.3905862e+05	2.2930152e+02	4.4100952e+18	1.3961787e-01
4.5072127e+05	2.2875171e+02	4.3765712e+18	1.3822432e-01
4.6235595e+05	2.2820322e+02	4.3433089e+18	1.3684489e-01
4.7396273e+05	2.2765604e+02	4.3103060e+18	1.3547944e-01
4.8554169e+05	2.2711017e+02	4.2775599e+18	1.3412780e-01
4.9709288e+05	2.2656562e+02	4.2450683e+18	1.3278983e-01
5.0861638e+05	2.2602237e+02	4.2128291e+18	1.3146537e-01
5.2011224e+05	2.2548042e+02	4.1808398e+18	1.3015429e-01
5.3158054e+05	2.2493977e+02	4.1490983e+18	1.2885643e-01
5.4302134e+05	2.2440042e+02	4.1176025e+18	1.2757166e-01
5.5443471e+05	2.2386236e+02	4.0863500e+18	1.2629983e-01
5.6582071e+05	2.2332559e+02	4.0553389e+18	1.2504080e-01
5.7717942e+05	2.2279011e+02	4.0245669e+18	1.2379445e-01
5.8851088e+05	2.2225591e+02	3.9940321e+18	1.2256063e-01
5.9981518e+05	2.2172299e+02	3.9637325e+18	1.2133922e-01
6.1109237e+05	2.2119136e+02	3.9336659e+18	1.2013007e-01
6.2234252e+05	2.2066099e+02	3.9038305e+18	1.1893307e-01
6.3356570e+05	2.2013190e+02	3.8742243e+18	1.1774809e-01
6.4476196e+05	2.1960407e+02	3.8448453e+18	1.1657499e-01
6.5593138e+05	2.1907752e+02	3.8156917e+18	1.1541366e-01
6.6707402e+05	2.1855222e+02	3.7867616e+18	1.1426397e-01
6.7818994e+05	2.1802818e+02	3.7580531e+18	1.1312580e-01
6.8927920e+05	2.1750540e+02	3.7295644e+18	1.1199903e-01
7.0034188e+05	2.1698388e+02	3.7012937e+18	1.1088355e-01
7.1137803e+05	2.1646360e+02	3.6732392e+18	1.0977924e-01
7.2238772e+05	2.1594457e+02	3.6453992e+18	1.0868597e-01
7.3337101e+05	2.1542679e+02	3.6177718e+18	1.0760365e-01
7.4432797e+05	2.1491025e+02	3.5903555e+18	1.0653215e-01
7.5525865e+05	2.1439494e+02	3.5631484e+18	1.0547136e-01
7.6616313e+05	2.1388088e+02	3.5361488e+18	1.0442118e-01
7.7704146e+05	2.1336804e+02	3.5093552e+18	1.0338150e-01
7.8789370e+05	2.1285643e+02	3.4827659e+18	1.0235220e-01
7.9871992e+05	2.1234605e+02	3.4563792e+18	1.0133318e-01
8.0952019e+05	2.1183690e+02	3.4301935e+18	1.0032435e-01
8.2029935e+05	2.1167691e+02	3.3986257e+18	9.9325998e-02
8.3107851e+05	2.1167691e+02	3.3648088e+18	9.8337688e-02
8.4185767e+05	2.1167691e+02	3.3313284e+18	9.7359211e-02
8.5263684e+05	2.1167691e+02	3.2981811e+18	9.6390471e-02
8.6341600e+05	2.1167691e+02	3.2653636e+18	9.5431370e-02
8.7419516e+05	2.1167691e+02	3.2328727e+18	9.4481812e-02
8.8497432e+05	2.1167691e+02	3.2007051e+18	9.3541702e-02
8.9575348e+05	2.1167691e+02	3.1688576e+18	9.2610947e-02
9.0653264e+05	2.1167691e+02	3.1373269e+18	9.1689452e-02
9.1731181e+05	2.1167691e+02	3.1061100e+18	9.0777127e-02
9.2809097e+05	2.1167691e+02	3.0752037e+18	8.9873879e-02
9.3887013e+05	2.1167691e+02	3.0446049e+18	8.8979619e-02
9.4964929e+05	2.1167691e+02	3.0143106e+18	8.8094257e-02
9.6042845e+05	2.1167691e+02	2.9843177e+18	8.7217705e-02
9.7120761e+05	2.1167691e+02	2.9546232e+18	8.6349874e-02
9.8198678e+05	2.1167691e+02	2.9252242e+18	8.5490679e-02
9.9276594e+05	2.1167691e+02	2.8961177e+18	8.4640032e-02
1.0035451e+06	2.1167691e+02	2.8673009e+18	8.3797850e-02
1.0143243e+06	2.1167691e+02	2.8387708e+18	8.2964047e-02
1.0251034e+06	2.1167691e+02	2.8105245e+18	8.2138541e-02
1.0358826e+06	2.1167691e+02	2.7825593e+18	8.1321249e-02
1.0466617e+06	2.1167691e+02	2.7548724e+18	8.0512089e-02
1.0574409e+06	2.1167691e+02	2.7274610e+18	7.9710980e-02
1.0682201e+06	2.1167691e+02	2.7003223e+18	7.8917843e-02
1.0789992e+06	2.1167691e+02	2.6734536e+18	7.8132597e-02
1.0897784e+06	2.1167691e+02	2.6468523e+18	7.7355165e-02
1.1005576e+06	2.1167691e+02	2.6205157e+18	7.6585468e-02
1.1113367e+06	2.1167691e+02	2.5944411e+18	7.5823430e-02
1.1221159e+06	2.1167691e+02	2.5686260e+18	7.5068974e-02
1.1328950e+06	2.1167691e+02	2.5430678e+18	7.4322026e-02
1.1436742e+06	2.1167691e+02	2.5177638e+18	7.3582509e-02
1.1544534e+06	2.1167691e+02	2.4927116e+18	7.2850351e-02
1.1652325e+06	2.1167691e+02	2.4679088e+18	7.2125478e-02
1.1760117e+06	2.1167691e+02	2.4433527e+18	7.1407817e-02
1.1867908e+06	2.1167691e+02	2.4190409e+18	7.0697298e-02
1.1975700e+06	2.1167691e+02	2.3949710e+18	6.9993848e-02
1.2083492e+06	2.1167691e+02	2.3711407e+18	6.9297397e-02
1.2191283e+06	2.1167691e+02	2.3475474e+18	6.8607877e-02
1.2299075e+06	2.1167691e+02	2.3241889e+18	6.7925217e-02
1.2406867e+06	2.1167691e+02	2.3010629e+18	6.7249350e-02
1.2514658e+06	2.1167691e+02	2.2781669e+18	6.6580207e-02
1.2622450e+06	2.1167691e+02	2.2554988e+18	6.5917723e-02
1.2730241e+06	2.1167691e+02	2.2330562e+18	6.5261831e-02
