# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	6.0776948e+17	2.0978045e-02
1.2730677e+04	2.5000000e+02	6.0172207e+17	2.0769310e-02
2.5461354e+04	2.5000000e+02	5.9573484e+17	2.0562652e-02
3.8192031e+04	2.5000000e+02	5.8980718e+17	2.0358050e-02
5.0922708e+04	2.5000000e+02	5.8393850e+17	2.0155484e-02
6.3653385e+04	2.5000000e+02	5.7812821e+17	1.9954934e-02
7.6384063e+04	2.5000000e+02	5.7237574e+17	1.9756379e-02
8.9114740e+04	2.5000000e+02	5.6668051e+17	1.9559799e-02
1.0184542e+05	2.5000000e+02	5.6104194e+17	1.9365176e-02
1.1457609e+05	2.5000000e+02	5.5545948e+17	1.9172489e-02
1.2730677e+05	2.5000000e+02	5.4993257e+17	1.8981720e-02
1.4003745e+05	2.5000000e+02	5.4446065e+17	1.8792849e-02
1.5276813e+05	2.5000000e+02	5.3904317e+17	1.8605857e-02
1.6549880e+05	2.5000000e+02	5.3367960e+17	1.8420725e-02
1.7822948e+05	2.5000000e+02	5.2836940e+17	1.8237436e-02
1.9096016e+05	2.5000000e+02	5.2311204e+17	1.8055971e-02
2.0369083e+05	2.5000000e+02	5.1790699e+17	1.7876311e-02
2.1642151e+05	2.5000000e+02	5.1275373e+17	1.7698438e-02
2.2915219e+05	2.5000000e+02	5.0765174e+17	1.7522336e-02
2.4188286e+05	2.5000000e+02	5.0260052e+17	1.7347986e-02
2.5461354e+05	2.5000000e+02	4.9759956e+17	1.7175370e-02
2.6734422e+05	2.5000000e+02	4.9264837e+17	1.7004473e-02
2.8007490e+05	2.5000000e+02	4.8774643e+17	1.6835275e-02
2.9280557e+05	2.5000000e+02	4.8289328e+17	1.6667762e-02
3.0553625e+05	2.5000000e+02	4.7808841e+17	1.6501915e-02
3.1826693e+05	2.5000000e+02	4.7333135e+17	1.6337718e-02
3.3099760e+05	2.5000000e+02	4.6862162e+17	1.6175155e-02
3.4372828e+05	2.5000000e+02	4.6395876e+17	1.6014209e-02
3.5645896e+05	2.5000000e+02	4.5934229e+17	1.5854865e-02
3.6918964e+05	2.5000000e+02	4.5477176e+17	1.5697107e-02
3.8192031e+05	2.5000000e+02	4.5024671e+17	1.5540918e-02
