# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	5.7965993e+19	2.0007803e+00
1.2715405e+04	2.4940056e+02	5.7526110e+19	1.9808361e+00
2.5400322e+04	2.4880256e+02	5.7089612e+19	1.9610923e+00
3.8054824e+04	2.4820599e+02	5.6656471e+19	1.9415469e+00
5.0678983e+04	2.4761085e+02	5.6226659e+19	1.9221977e+00
6.3272872e+04	2.4701714e+02	5.5800148e+19	1.9030427e+00
7.5836564e+04	2.4642485e+02	5.5376910e+19	1.8840800e+00
8.8370131e+04	2.4583398e+02	5.4956919e+19	1.8653074e+00
1.0087365e+05	2.4524453e+02	5.4540148e+19	1.8467230e+00
1.1334718e+05	2.4465649e+02	5.4126571e+19	1.8283249e+00
1.2579081e+05	2.4406986e+02	5.3716161e+19	1.8101111e+00
1.3820459e+05	2.4348464e+02	5.3308892e+19	1.7920798e+00
1.5058862e+05	2.4290082e+02	5.2904739e+19	1.7742290e+00
1.6294295e+05	2.4231840e+02	5.2503677e+19	1.7565569e+00
1.7526765e+05	2.4173738e+02	5.2105681e+19	1.7390617e+00
1.8756281e+05	2.4115775e+02	5.1710726e+19	1.7217416e+00
1.9982848e+05	2.4057951e+02	5.1318787e+19	1.7045947e+00
2.1206475e+05	2.4000266e+02	5.0929840e+19	1.6876193e+00
2.2427167e+05	2.3942719e+02	5.0543862e+19	1.6708136e+00
2.3644933e+05	2.3885310e+02	5.0160828e+19	1.6541759e+00
2.4859778e+05	2.3828039e+02	4.9780716e+19	1.6377045e+00
2.6071711e+05	2.3770905e+02	4.9403501e+19	1.6213977e+00
2.7280738e+05	2.3713908e+02	4.9029162e+19	1.6052538e+00
2.8486866e+05	2.3657048e+02	4.8657674e+19	1.5892712e+00
2.9690101e+05	2.3600324e+02	4.8289016e+19	1.5734481e+00
3.0890452e+05	2.3543736e+02	4.7923166e+19	1.5577831e+00
3.2087925e+05	2.3487283e+02	4.7560100e+19	1.5422744e+00
3.3282526e+05	2.3430966e+02	4.7199798e+19	1.5269206e+00
3.4474263e+05	2.3374784e+02	4.6842237e+19	1.5117200e+00
3.5663142e+05	2.3318737e+02	4.6487396e+19	1.4966711e+00
3.6849171e+05	2.3262825e+02	4.6135254e+19	1.4817723e+00
3.8032356e+05	2.3207046e+02	4.5785789e+19	1.4670222e+00
3.9212704e+05	2.3151401e+02	4.5438981e+19	1.4524192e+00
4.0390222e+05	2.3095889e+02	4.5094809e+19	1.4379618e+00
4.1564916e+05	2.3040511e+02	4.4753253e+19	1.4236487e+00
4.2736794e+05	2.2985265e+02	4.4414291e+19	1.4094782e+00
4.3905862e+05	2.2930152e+02	4.4077905e+19	1.3954491e+00
4.5072127e+05	2.2875171e+02	4.3744074e+19	1.3815598e+00
4.6235595e+05	2.2820322e+02	4.3412778e+19	1.3678090e+00
4.7396273e+05	2.2765604e+02	4.3083997e+19	1.3541952e+00
4.8554169e+05	2.2711017e+02	4.2757713e+19	1.3407172e+00
4.9709288e+05	2.2656562e+02	4.2433905e+19	1.3273734e+00
5.0861638e+05	2.2602237e+02	4.2112555e+19	1.3141627e+00
5.2011224e+05	2.2548042e+02	4.1793644e+19	1.3010835e+00
5.3158054e+05	2.2493977e+02	4.1477152e+19	1.2881347e+00
5.4302134e+05	2.2440042e+02	4.1163062e+19	1.2753150e+00
5.5443471e+05	2.2386236e+02	4.0851355e+19	1.2626229e+00
5.6582071e+05	2.2332559e+02	4.0542012e+19	1.2500573e+00
5.7717942e+05	2.2279011e+02	4.0235016e+19	1.2376168e+00
5.8851088e+05	2.2225591e+02	3.9930348e+19	1.2253003e+00
5.9981518e+05	2.2172299e+02	3.9627990e+19	1.2131064e+00
6.1109237e+05	2.2119136e+02	3.9327926e+19	1.2010340e+00
6.2234252e+05	2.2066099e+02	3.9030136e+19	1.1890818e+00
6.3356570e+05	2.2013190e+02	3.8734604e+19	1.1772487e+00
6.4476196e+05	2.1960407e+02	3.8441313e+19	1.1655334e+00
6.5593138e+05	2.1907752e+02	3.8150245e+19	1.1539347e+00
6.6707402e+05	2.1855222e+02	3.7861383e+19	1.1424516e+00
6.7818994e+05	2.1802818e+02	3.7574710e+19	1.1310828e+00
6.8927920e+05	2.1750540e+02	3.7290211e+19	1.1198272e+00
7.0034188e+05	2.1698388e+02	3.7007867e+19	1.1086836e+00
7.1137803e+05	2.1646360e+02	3.6727664e+19	1.0976510e+00
7.2238772e+05	2.1594457e+02	3.6449583e+19	1.0867283e+00
7.3337101e+05	2.1542679e+02	3.6173610e+19	1.0759143e+00
7.4432797e+05	2.1491025e+02	3.5899728e+19	1.0652079e+00
7.5525865e+05	2.1439494e+02	3.5627921e+19	1.0546082e+00
7.6616313e+05	2.1388088e+02	3.5358173e+19	1.0441139e+00
7.7704146e+05	2.1336804e+02	3.5090469e+19	1.0337241e+00
7.8789370e+05	2.1285643e+02	3.4824793e+19	1.0234378e+00
7.9871992e+05	2.1234605e+02	3.4561130e+19	1.0132538e+00
8.0952019e+05	2.1183690e+02	3.4299464e+19	1.0031712e+00
8.2029456e+05	2.1132896e+02	3.4039780e+19	9.9318896e-01
8.3104309e+05	2.1082225e+02	3.3782063e+19	9.8330608e-01
8.4176585e+05	2.1031675e+02	3.3526299e+19	9.7352157e-01
8.5246290e+05	2.0981246e+02	3.3272471e+19	9.6383445e-01
8.6313431e+05	2.0930938e+02	3.3020567e+19	9.5424374e-01
8.7378012e+05	2.0880750e+02	3.2770570e+19	9.4474848e-01
8.8440041e+05	2.0830683e+02	3.2522466e+19	9.3534773e-01
8.9499523e+05	2.0780736e+02	3.2276242e+19	9.2604054e-01
9.0556465e+05	2.0730909e+02	3.2031882e+19	9.1682598e-01
9.1610873e+05	2.0681201e+02	3.1789373e+19	9.0770313e-01
9.2662752e+05	2.0631612e+02	3.1548701e+19	8.9867107e-01
9.3712109e+05	2.0582143e+02	3.1309851e+19	8.8972890e-01
9.4758951e+05	2.0532792e+02	3.1072810e+19	8.8087572e-01
9.5803282e+05	2.0483559e+02	3.0837564e+19	8.7211064e-01
9.6845109e+05	2.0434444e+02	3.0604099e+19	8.6343280e-01
9.7884438e+05	2.0385447e+02	3.0372402e+19	8.5484131e-01
9.8921274e+05	2.0336568e+02	3.0142460e+19	8.4633533e-01
9.9955625e+05	2.0287806e+02	2.9914259e+19	8.3791399e-01
1.0098750e+06	2.0239160e+02	2.9687786e+19	8.2957645e-01
1.0201689e+06	2.0190631e+02	2.9463028e+19	8.2132189e-01
1.0304382e+06	2.0142219e+02	2.9239972e+19	8.1314947e-01
1.0406829e+06	2.0093923e+02	2.9018605e+19	8.0505837e-01
1.0509030e+06	2.0045742e+02	2.8798914e+19	7.9704779e-01
1.0610986e+06	1.9997677e+02	2.8580886e+19	7.8911693e-01
1.0712697e+06	1.9949728e+02	2.8364509e+19	7.8126499e-01
1.0814164e+06	1.9901893e+02	2.8149771e+19	7.7349118e-01
1.0915389e+06	1.9854173e+02	2.7936658e+19	7.6579472e-01
1.1016370e+06	1.9806567e+02	2.7725159e+19	7.5817486e-01
1.1117110e+06	1.9759076e+02	2.7515262e+19	7.5063082e-01
1.1217608e+06	1.9711698e+02	2.7306953e+19	7.4316185e-01
1.1317864e+06	1.9664435e+02	2.7100222e+19	7.3576720e-01
1.1417881e+06	1.9617284e+02	2.6895056e+19	7.2844614e-01
1.1517658e+06	1.9570246e+02	2.6691443e+19	7.2119792e-01
1.1617195e+06	1.9523321e+02	2.6489372e+19	7.1402183e-01
1.1716494e+06	1.9476509e+02	2.6288831e+19	7.0691714e-01
1.1815555e+06	1.9429809e+02	2.6089809e+19	6.9988316e-01
1.1914378e+06	1.9383221e+02	2.5892293e+19	6.9291916e-01
1.2012964e+06	1.9336745e+02	2.5696272e+19	6.8602446e-01
1.2111314e+06	1.9290380e+02	2.5501736e+19	6.7919837e-01
1.2209428e+06	1.9244126e+02	2.5308672e+19	6.7244020e-01
1.2307306e+06	1.9197983e+02	2.5117070e+19	6.6574928e-01
1.2404951e+06	1.9151951e+02	2.4926919e+19	6.5912493e-01
1.2502360e+06	1.9106029e+02	2.4738207e+19	6.5256650e-01
1.2599537e+06	1.9060217e+02	2.4550924e+19	6.4607333e-01
1.2696480e+06	1.9014516e+02	2.4365059e+19	6.3964477e-01
1.2793191e+06	1.8968923e+02	2.4180602e+19	6.3328018e-01
1.2889670e+06	1.8923440e+02	2.3997540e+19	6.2697891e-01
1.2985918e+06	1.8878066e+02	2.3815865e+19	6.2074035e-01
1.3081935e+06	1.8845747e+02	2.3619329e+19	6.1456387e-01
1.3177874e+06	1.8834542e+02	2.3398224e+19	6.0844886e-01
1.3273756e+06	1.8823350e+02	2.3179181e+19	6.0239469e-01
