# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
8.3650076e+05	1.7547181e+02	3.4586006e+18	8.3790329e-02
8.4543626e+05	1.7547181e+02	3.4241870e+18	8.2956601e-02
8.5437176e+05	1.7547181e+02	3.3901157e+18	8.2131169e-02
8.6330726e+05	1.7547181e+02	3.3563835e+18	8.1313950e-02
8.7224276e+05	1.7547181e+02	3.3229869e+18	8.0504863e-02
8.8117826e+05	1.7547181e+02	3.2899227e+18	7.9703826e-02
8.9011376e+05	1.7547181e+02	3.2571874e+18	7.8910760e-02
8.9904926e+05	1.7547181e+02	3.2247778e+18	7.8125585e-02
9.0798476e+05	1.7547181e+02	3.1926908e+18	7.7348222e-02
9.1692026e+05	1.7547181e+02	3.1609230e+18	7.6578594e-02
9.2585576e+05	1.7547181e+02	3.1294712e+18	7.5816625e-02
9.3479126e+05	1.7547181e+02	3.0983325e+18	7.5062237e-02
9.4372676e+05	1.7547181e+02	3.0675036e+18	7.4315355e-02
9.5266226e+05	1.7547181e+02	3.0369814e+18	7.3575905e-02
9.6159776e+05	1.7547181e+02	3.0067629e+18	7.2843812e-02
9.7053326e+05	1.7547181e+02	2.9768451e+18	7.2119004e-02
9.7946876e+05	1.7547181e+02	2.9472250e+18	7.1401408e-02
9.8840426e+05	1.7547181e+02	2.9178997e+18	7.0690952e-02
9.9733976e+05	1.7547181e+02	2.8888661e+18	6.9987566e-02
1.0062753e+06	1.7547181e+02	2.8601214e+18	6.9291178e-02
1.0152108e+06	1.7547181e+02	2.8316627e+18	6.8601719e-02
1.0241463e+06	1.7547181e+02	2.8034872e+18	6.7919120e-02
1.0330818e+06	1.7547181e+02	2.7755920e+18	6.7243314e-02
1.0420173e+06	1.7547181e+02	2.7479744e+18	6.6574232e-02
1.0509528e+06	1.7547181e+02	2.7206316e+18	6.5911807e-02
1.0598883e+06	1.7547181e+02	2.6935609e+18	6.5255974e-02
1.0688238e+06	1.7547181e+02	2.6667595e+18	6.4606666e-02
1.0777593e+06	1.7547181e+02	2.6402248e+18	6.3963819e-02
1.0866948e+06	1.7547181e+02	2.6139541e+18	6.3327368e-02
1.0956303e+06	1.7547181e+02	2.5879448e+18	6.2697250e-02
1.1045658e+06	1.7547181e+02	2.5621944e+18	6.2073402e-02
1.1135013e+06	1.7547181e+02	2.5367001e+18	6.1455762e-02
1.1224368e+06	1.7547181e+02	2.5114595e+18	6.0844267e-02
1.1313723e+06	1.7547181e+02	2.4864701e+18	6.0238856e-02
1.1403078e+06	1.7547181e+02	2.4617293e+18	5.9639469e-02
1.1492433e+06	1.7547181e+02	2.4372347e+18	5.9046047e-02
1.1581788e+06	1.7547181e+02	2.4129838e+18	5.8458529e-02
1.1671143e+06	1.7547181e+02	2.3889742e+18	5.7876857e-02
1.1760498e+06	1.7547181e+02	2.3652035e+18	5.7300972e-02
1.1849853e+06	1.7547181e+02	2.3416693e+18	5.6730818e-02
1.1939208e+06	1.7547181e+02	2.3183693e+18	5.6166337e-02
1.2028563e+06	1.7547181e+02	2.2953012e+18	5.5607473e-02
1.2117918e+06	1.7547181e+02	2.2724625e+18	5.5054169e-02
1.2207273e+06	1.7547181e+02	2.2498512e+18	5.4506371e-02
1.2296628e+06	1.7547181e+02	2.2274648e+18	5.3964023e-02
1.2385983e+06	1.7547181e+02	2.2053011e+18	5.3427072e-02
1.2475338e+06	1.7547181e+02	2.1833580e+18	5.2895464e-02
1.2564693e+06	1.7547181e+02	2.1616332e+18	5.2369146e-02
1.2654048e+06	1.7547181e+02	2.1401246e+18	5.1848064e-02
1.2743403e+06	1.7547181e+02	2.1188300e+18	5.1332167e-02
1.2832758e+06	1.7547181e+02	2.0977473e+18	5.0821403e-02
1.2922113e+06	1.7547181e+02	2.0768744e+18	5.0315722e-02
1.3011468e+06	1.7547181e+02	2.0562091e+18	4.9815072e-02
1.3100823e+06	1.7547181e+02	2.0357495e+18	4.9319404e-02
1.3190178e+06	1.7547181e+02	2.0154935e+18	4.8828668e-02
1.3279533e+06	1.7547181e+02	1.9954390e+18	4.8342814e-02
1.3368888e+06	1.7547181e+02	1.9755840e+18	4.7861795e-02
1.3458243e+06	1.7547181e+02	1.9559266e+18	4.7385562e-02
1.3547598e+06	1.7547181e+02	1.9364648e+18	4.6914068e-02
1.3636953e+06	1.7547181e+02	1.9171967e+18	4.6447265e-02
1.3726308e+06	1.7547181e+02	1.8981203e+18	4.5985107e-02
1.3815663e+06	1.7547181e+02	1.8792336e+18	4.5527548e-02
1.3905018e+06	1.7547181e+02	1.8605350e+18	4.5074541e-02
1.3994373e+06	1.7547181e+02	1.8420223e+18	4.4626042e-02
1.4083728e+06	1.7547181e+02	1.8236939e+18	4.4182006e-02
1.4173083e+06	1.7547181e+02	1.8055478e+18	4.3742387e-02
1.4262438e+06	1.7547181e+02	1.7875823e+18	4.3307143e-02
1.4351793e+06	1.7547181e+02	1.7697956e+18	4.2876230e-02
1.4441148e+06	1.7547181e+02	1.7521858e+18	4.2449604e-02
1.4530503e+06	1.7547181e+02	1.7347513e+18	4.2027224e-02
1.4619858e+06	1.7547181e+02	1.7174902e+18	4.1609046e-02
1.4709213e+06	1.7547181e+02	1.7004009e+18	4.1195029e-02
1.4798568e+06	1.7547181e+02	1.6834817e+18	4.0785132e-02
1.4887923e+06	1.7547181e+02	1.6667307e+18	4.0379313e-02
1.4977278e+06	1.7547181e+02	1.6501465e+18	3.9977532e-02
1.5066633e+06	1.7547181e+02	1.6337272e+18	3.9579749e-02
1.5155988e+06	1.7547181e+02	1.6174714e+18	3.9185924e-02
1.5245343e+06	1.7547181e+02	1.6013773e+18	3.8796017e-02
1.5334698e+06	1.7547181e+02	1.5854433e+18	3.8409990e-02
1.5424053e+06	1.7547181e+02	1.5696679e+18	3.8027805e-02
1.5513408e+06	1.7547181e+02	1.5540494e+18	3.7649422e-02
1.5602763e+06	1.7547181e+02	1.5385864e+18	3.7274804e-02
1.5692118e+06	1.7547181e+02	1.5232772e+18	3.6903913e-02
1.5781473e+06	1.7547181e+02	1.5081203e+18	3.6536713e-02
1.5870828e+06	1.7547181e+02	1.4931143e+18	3.6173167e-02
1.5960183e+06	1.7547181e+02	1.4782575e+18	3.5813238e-02
1.6049538e+06	1.7547181e+02	1.4635486e+18	3.5456890e-02
1.6138893e+06	1.7547181e+02	1.4489861e+18	3.5104088e-02
1.6228248e+06	1.7547181e+02	1.4345684e+18	3.4754797e-02
1.6317603e+06	1.7547181e+02	1.4202942e+18	3.4408981e-02
1.6406958e+06	1.7547181e+02	1.4061621e+18	3.4066605e-02
1.6496313e+06	1.7547181e+02	1.3921705e+18	3.3727637e-02
1.6585668e+06	1.7547181e+02	1.3783182e+18	3.3392041e-02
1.6675023e+06	1.7547181e+02	1.3646037e+18	3.3059785e-02
1.6764378e+06	1.7547181e+02	1.3510257e+18	3.2730835e-02
1.6853733e+06	1.7547181e+02	1.3375827e+18	3.2405157e-02
1.6943088e+06	1.7547181e+02	1.3242736e+18	3.2082721e-02
1.7032443e+06	1.7547181e+02	1.3110968e+18	3.1763492e-02
1.7121798e+06	1.7547181e+02	1.2980512e+18	3.1447440e-02
1.7211153e+06	1.7547181e+02	1.2851354e+18	3.1134533e-02
1.7300508e+06	1.7547181e+02	1.2723481e+18	3.0824739e-02
1.7389863e+06	1.7547181e+02	1.2596880e+18	3.0518028e-02
1.7479218e+06	1.7547181e+02	1.2471539e+18	3.0214369e-02
1.7568573e+06	1.7547181e+02	1.2347445e+18	2.9913731e-02
1.7657928e+06	1.7547181e+02	1.2224586e+18	2.9616084e-02
1.7747283e+06	1.7547181e+02	1.2102949e+18	2.9321399e-02
1.7836638e+06	1.7547181e+02	1.1982523e+18	2.9029646e-02
1.7925993e+06	1.7547181e+02	1.1863295e+18	2.8740796e-02
1.8015348e+06	1.7547181e+02	1.1745253e+18	2.8454821e-02
1.8104703e+06	1.7547181e+02	1.1628386e+18	2.8171691e-02
1.8194058e+06	1.7547181e+02	1.1512681e+18	2.7891378e-02
1.8283413e+06	1.7547181e+02	1.1398128e+18	2.7613854e-02
1.8372768e+06	1.7547181e+02	1.1284715e+18	2.7339091e-02
1.8462123e+06	1.7547181e+02	1.1172430e+18	2.7067063e-02
1.8551478e+06	1.7547181e+02	1.1061263e+18	2.6797741e-02
