# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
7.6929014e+05	1.9328703e+02	3.5049161e+19	9.3533341e-01
7.7912984e+05	1.9316917e+02	3.4721588e+19	9.2602668e-01
7.8896354e+05	1.9305145e+02	3.4397065e+19	9.1681256e-01
7.9879125e+05	1.9293387e+02	3.4075562e+19	9.0769012e-01
8.0861297e+05	1.9281643e+02	3.3757051e+19	8.9865845e-01
8.1842872e+05	1.9269914e+02	3.3441505e+19	8.8971664e-01
8.2823850e+05	1.9258199e+02	3.3128897e+19	8.8086381e-01
8.3804231e+05	1.9246499e+02	3.2819198e+19	8.7209906e-01
8.4784017e+05	1.9234812e+02	3.2512383e+19	8.6342153e-01
8.5763209e+05	1.9223140e+02	3.2208424e+19	8.5483033e-01
8.6741806e+05	1.9211482e+02	3.1907296e+19	8.4632462e-01
8.7719810e+05	1.9199838e+02	3.1608971e+19	8.3790355e-01
8.8697222e+05	1.9188208e+02	3.1313423e+19	8.2956627e-01
8.9674042e+05	1.9176592e+02	3.1020628e+19	8.2131194e-01
9.0650270e+05	1.9164991e+02	3.0730559e+19	8.1313975e-01
9.1625908e+05	1.9153403e+02	3.0443192e+19	8.0504887e-01
9.2600957e+05	1.9141829e+02	3.0158500e+19	7.9703849e-01
9.3575416e+05	1.9130270e+02	2.9876461e+19	7.8910782e-01
9.4549287e+05	1.9118724e+02	2.9597047e+19	7.8125606e-01
9.5522571e+05	1.9107192e+02	2.9320237e+19	7.7348243e-01
9.6495267e+05	1.9095674e+02	2.9046005e+19	7.6578615e-01
9.7467378e+05	1.9084170e+02	2.8774327e+19	7.5816645e-01
9.8438903e+05	1.9072680e+02	2.8505180e+19	7.5062256e-01
9.9409843e+05	1.9061203e+02	2.8238540e+19	7.4315374e-01
1.0038020e+06	1.9049741e+02	2.7974384e+19	7.3575923e-01
1.0134997e+06	1.9038292e+02	2.7712689e+19	7.2843830e-01
1.0231916e+06	1.9026857e+02	2.7453433e+19	7.2119022e-01
1.0328777e+06	1.9015436e+02	2.7196592e+19	7.1401425e-01
1.0425580e+06	1.9004028e+02	2.6942144e+19	7.0690969e-01
1.0522324e+06	1.8992634e+02	2.6690067e+19	6.9987582e-01
1.0619011e+06	1.8981254e+02	2.6440339e+19	6.9291193e-01
1.0715640e+06	1.8969887e+02	2.6192939e+19	6.8601734e-01
1.0812211e+06	1.8958534e+02	2.5947844e+19	6.7919135e-01
1.0908724e+06	1.8947195e+02	2.5705033e+19	6.7243328e-01
1.1005179e+06	1.8935869e+02	2.5464485e+19	6.6574246e-01
1.1101577e+06	1.8924557e+02	2.5226179e+19	6.5911821e-01
1.1197917e+06	1.8913258e+02	2.4990095e+19	6.5255987e-01
1.1294200e+06	1.8901972e+02	2.4756211e+19	6.4606679e-01
1.1390425e+06	1.8890701e+02	2.4524507e+19	6.3963831e-01
1.1486593e+06	1.8879442e+02	2.4294964e+19	6.3327380e-01
1.1582704e+06	1.8868197e+02	2.4067560e+19	6.2697262e-01
1.1678757e+06	1.8856965e+02	2.3842276e+19	6.2073414e-01
1.1774753e+06	1.8845747e+02	2.3619093e+19	6.1455772e-01
1.1870692e+06	1.8834542e+02	2.3397990e+19	6.0844277e-01
1.1966574e+06	1.8823350e+02	2.3178949e+19	6.0238866e-01
1.2062399e+06	1.8812172e+02	2.2961951e+19	5.9639479e-01
1.2158168e+06	1.8801007e+02	2.2746976e+19	5.9046056e-01
1.2253879e+06	1.8789855e+02	2.2534006e+19	5.8458538e-01
1.2349534e+06	1.8778716e+02	2.2323022e+19	5.7876866e-01
1.2445132e+06	1.8767591e+02	2.2114005e+19	5.7300981e-01
1.2540673e+06	1.8756479e+02	2.1906938e+19	5.6730827e-01
1.2636158e+06	1.8745380e+02	2.1701803e+19	5.6166345e-01
