# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	5.7971213e+19	2.0009605e+00
1.2715405e+04	2.4940056e+02	5.7531290e+19	1.9810145e+00
2.5400322e+04	2.4880256e+02	5.7094753e+19	1.9612689e+00
3.8054824e+04	2.4820599e+02	5.6661573e+19	1.9417217e+00
5.0678983e+04	2.4761085e+02	5.6231721e+19	1.9223708e+00
6.3272872e+04	2.4701714e+02	5.5805172e+19	1.9032141e+00
7.5836564e+04	2.4642485e+02	5.5381896e+19	1.8842496e+00
8.8370131e+04	2.4583398e+02	5.4961867e+19	1.8654753e+00
1.0087365e+05	2.4524453e+02	5.4545059e+19	1.8468892e+00
1.1334718e+05	2.4465649e+02	5.4131444e+19	1.8284895e+00
1.2579081e+05	2.4406986e+02	5.3720997e+19	1.8102741e+00
1.3820459e+05	2.4348464e+02	5.3313691e+19	1.7922411e+00
1.5058862e+05	2.4290082e+02	5.2909502e+19	1.7743887e+00
1.6294295e+05	2.4231840e+02	5.2508404e+19	1.7567151e+00
1.7526765e+05	2.4173738e+02	5.2110372e+19	1.7392183e+00
1.8756281e+05	2.4115775e+02	5.1715381e+19	1.7218966e+00
1.9982848e+05	2.4057951e+02	5.1323407e+19	1.7047482e+00
2.1206475e+05	2.4000266e+02	5.0934425e+19	1.6877712e+00
2.2427167e+05	2.3942719e+02	5.0548412e+19	1.6709640e+00
2.3644933e+05	2.3885310e+02	5.0165344e+19	1.6543249e+00
2.4859778e+05	2.3828039e+02	4.9785197e+19	1.6378520e+00
2.6071711e+05	2.3770905e+02	4.9407949e+19	1.6215437e+00
2.7280738e+05	2.3713908e+02	4.9033575e+19	1.6053983e+00
2.8486866e+05	2.3657048e+02	4.8662054e+19	1.5894142e+00
2.9690101e+05	2.3600324e+02	4.8293363e+19	1.5735898e+00
3.0890452e+05	2.3543736e+02	4.7927480e+19	1.5579233e+00
3.2087925e+05	2.3487283e+02	4.7564381e+19	1.5424133e+00
3.3282526e+05	2.3430966e+02	4.7204046e+19	1.5270580e+00
3.4474263e+05	2.3374784e+02	4.6846453e+19	1.5118561e+00
3.5663142e+05	2.3318737e+02	4.6491580e+19	1.4968058e+00
3.6849171e+05	2.3262825e+02	4.6139406e+19	1.4819057e+00
3.8032356e+05	2.3207046e+02	4.5789910e+19	1.4671542e+00
3.9212704e+05	2.3151401e+02	4.5443071e+19	1.4525499e+00
4.0390222e+05	2.3095889e+02	4.5098868e+19	1.4380913e+00
4.1564916e+05	2.3040511e+02	4.4757281e+19	1.4237768e+00
4.2736794e+05	2.2985265e+02	4.4418289e+19	1.4096051e+00
4.3905862e+05	2.2930152e+02	4.4081873e+19	1.3955747e+00
4.5072127e+05	2.2875171e+02	4.3748011e+19	1.3816842e+00
4.6235595e+05	2.2820322e+02	4.3416685e+19	1.3679321e+00
4.7396273e+05	2.2765604e+02	4.3087875e+19	1.3543171e+00
4.8554169e+05	2.2711017e+02	4.2761561e+19	1.3408378e+00
4.9709288e+05	2.2656562e+02	4.2437724e+19	1.3274929e+00
5.0861638e+05	2.2602237e+02	4.2116346e+19	1.3142809e+00
5.2011224e+05	2.2548042e+02	4.1797406e+19	1.3012007e+00
5.3158054e+05	2.2493977e+02	4.1480886e+19	1.2882507e+00
5.4302134e+05	2.2440042e+02	4.1166767e+19	1.2754297e+00
5.5443471e+05	2.2386236e+02	4.0855032e+19	1.2627365e+00
5.6582071e+05	2.2332559e+02	4.0545662e+19	1.2501698e+00
5.7717942e+05	2.2279011e+02	4.0238638e+19	1.2377282e+00
5.8851088e+05	2.2225591e+02	3.9933942e+19	1.2254106e+00
5.9981518e+05	2.2172299e+02	3.9631557e+19	1.2132156e+00
6.1109237e+05	2.2119136e+02	3.9331466e+19	1.2011421e+00
6.2234252e+05	2.2066099e+02	3.9033649e+19	1.1891889e+00
6.3356570e+05	2.2013190e+02	3.8738091e+19	1.1773547e+00
6.4476196e+05	2.1960407e+02	3.8444773e+19	1.1656383e+00
6.5593138e+05	2.1907752e+02	3.8153679e+19	1.1540386e+00
6.6707402e+05	2.1855222e+02	3.7864791e+19	1.1425544e+00
6.7818994e+05	2.1802818e+02	3.7578093e+19	1.1311846e+00
6.8927920e+05	2.1750540e+02	3.7293567e+19	1.1199280e+00
