# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.5000000e+02	5.7965419e+19	2.0007605e+00
1.2715405e+04	2.4940056e+02	5.7525540e+19	1.9808165e+00
2.5400322e+04	2.4880256e+02	5.7089047e+19	1.9610729e+00
3.8054824e+04	2.4820599e+02	5.6655910e+19	1.9415277e+00
5.0678983e+04	2.4761085e+02	5.6226102e+19	1.9221787e+00
6.3272872e+04	2.4701714e+02	5.5799595e+19	1.9030239e+00
7.5836564e+04	2.4642485e+02	5.5376362e+19	1.8840613e+00
8.8370131e+04	2.4583398e+02	5.4956375e+19	1.8652889e+00
1.0087365e+05	2.4524453e+02	5.4539608e+19	1.8467047e+00
1.1334718e+05	2.4465649e+02	5.4126035e+19	1.8283068e+00
1.2579081e+05	2.4406986e+02	5.3715629e+19	1.8100932e+00
1.3820459e+05	2.4348464e+02	5.3308364e+19	1.7920620e+00
1.5058862e+05	2.4290082e+02	5.2904215e+19	1.7742114e+00
1.6294295e+05	2.4231840e+02	5.2503157e+19	1.7565395e+00
1.7526765e+05	2.4173738e+02	5.2105165e+19	1.7390445e+00
1.8756281e+05	2.4115775e+02	5.1710214e+19	1.7217245e+00
1.9982848e+05	2.4057951e+02	5.1318279e+19	1.7045778e+00
2.1206475e+05	2.4000266e+02	5.0929336e+19	1.6876026e+00
2.2427167e+05	2.3942719e+02	5.0543362e+19	1.6707971e+00
2.3644933e+05	2.3885310e+02	5.0160332e+19	1.6541596e+00
2.4859778e+05	2.3828039e+02	4.9780223e+19	1.6376883e+00
2.6071711e+05	2.3770905e+02	4.9403012e+19	1.6213817e+00
2.7280738e+05	2.3713908e+02	4.9028676e+19	1.6052379e+00
2.8486866e+05	2.3657048e+02	4.8657193e+19	1.5892554e+00
2.9690101e+05	2.3600324e+02	4.8288538e+19	1.5734325e+00
3.0890452e+05	2.3543736e+02	4.7922691e+19	1.5577677e+00
3.2087925e+05	2.3487283e+02	4.7559629e+19	1.5422592e+00
3.3282526e+05	2.3430966e+02	4.7199330e+19	1.5269055e+00
3.4474263e+05	2.3374784e+02	4.6841773e+19	1.5117050e+00
3.5663142e+05	2.3318737e+02	4.6486935e+19	1.4966562e+00
3.6849171e+05	2.3262825e+02	4.6134797e+19	1.4817576e+00
3.8032356e+05	2.3207046e+02	4.5785336e+19	1.4670076e+00
3.9212704e+05	2.3151401e+02	4.5438531e+19	1.4524048e+00
4.0390222e+05	2.3095889e+02	4.5094363e+19	1.4379476e+00
4.1564916e+05	2.3040511e+02	4.4752810e+19	1.4236346e+00
4.2736794e+05	2.2985265e+02	4.4413852e+19	1.4094643e+00
4.3905862e+05	2.2930152e+02	4.4077469e+19	1.3954353e+00
4.5072127e+05	2.2875171e+02	4.3743641e+19	1.3815461e+00
