# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.0035451e+06	2.1167691e+02	2.8675848e+18	8.3806147e-02
1.0143243e+06	2.1167691e+02	2.8390519e+18	8.2972262e-02
1.0251034e+06	2.1167691e+02	2.8108028e+18	8.2146674e-02
1.0358826e+06	2.1167691e+02	2.7828349e+18	8.1329301e-02
1.0466617e+06	2.1167691e+02	2.7551452e+18	8.0520061e-02
1.0574409e+06	2.1167691e+02	2.7277311e+18	7.9718873e-02
1.0682201e+06	2.1167691e+02	2.7005897e+18	7.8925657e-02
1.0789992e+06	2.1167691e+02	2.6737184e+18	7.8140334e-02
1.0897784e+06	2.1167691e+02	2.6471144e+18	7.7362825e-02
1.1005576e+06	2.1167691e+02	2.6207752e+18	7.6593052e-02
1.1113367e+06	2.1167691e+02	2.5946980e+18	7.5830938e-02
1.1221159e+06	2.1167691e+02	2.5688804e+18	7.5076408e-02
1.1328950e+06	2.1167691e+02	2.5433196e+18	7.4329385e-02
1.1436742e+06	2.1167691e+02	2.5180131e+18	7.3589795e-02
1.1544534e+06	2.1167691e+02	2.4929585e+18	7.2857564e-02
1.1652325e+06	2.1167691e+02	2.4681531e+18	7.2132620e-02
1.1760117e+06	2.1167691e+02	2.4435946e+18	7.1414888e-02
1.1867908e+06	2.1167691e+02	2.4192804e+18	7.0704298e-02
1.1975700e+06	2.1167691e+02	2.3952082e+18	7.0000778e-02
1.2083492e+06	2.1167691e+02	2.3713755e+18	6.9304259e-02
1.2191283e+06	2.1167691e+02	2.3477799e+18	6.8614670e-02
1.2299075e+06	2.1167691e+02	2.3244191e+18	6.7931943e-02
1.2406867e+06	2.1167691e+02	2.3012907e+18	6.7256009e-02
1.2514658e+06	2.1167691e+02	2.2783925e+18	6.6586800e-02
1.2622450e+06	2.1167691e+02	2.2557221e+18	6.5924250e-02
1.2730241e+06	2.1167691e+02	2.2332773e+18	6.5268293e-02
1.2838033e+06	2.1167691e+02	2.2110558e+18	6.4618863e-02
1.2945825e+06	2.1167691e+02	2.1890554e+18	6.3975894e-02
1.3053616e+06	2.1167691e+02	2.1672740e+18	6.3339324e-02
1.3161408e+06	2.1167691e+02	2.1457092e+18	6.2709087e-02
1.3269199e+06	2.1167691e+02	2.1243591e+18	6.2085121e-02
1.3376991e+06	2.1167691e+02	2.1032214e+18	6.1467364e-02
1.3484783e+06	2.1167691e+02	2.0822940e+18	6.0855753e-02
1.3592574e+06	2.1167691e+02	2.0615748e+18	6.0250228e-02
1.3700366e+06	2.1167691e+02	2.0410618e+18	5.9650729e-02
1.3808158e+06	2.1167691e+02	2.0207529e+18	5.9057194e-02
1.3915949e+06	2.1167691e+02	2.0006460e+18	5.8469565e-02
1.4023741e+06	2.1167691e+02	1.9807393e+18	5.7887783e-02
1.4131532e+06	2.1167691e+02	1.9610306e+18	5.7311790e-02
1.4239324e+06	2.1167691e+02	1.9415180e+18	5.6741528e-02
1.4347116e+06	2.1167691e+02	1.9221996e+18	5.6176941e-02
1.4454907e+06	2.1167691e+02	1.9030734e+18	5.5617971e-02
1.4562699e+06	2.1167691e+02	1.8841375e+18	5.5064563e-02
1.4670491e+06	2.1167691e+02	1.8653900e+18	5.4516661e-02
1.4778282e+06	2.1167691e+02	1.8468291e+18	5.3974211e-02
1.4886074e+06	2.1167691e+02	1.8284528e+18	5.3437159e-02
1.4993865e+06	2.1167691e+02	1.8102594e+18	5.2905450e-02
1.5101657e+06	2.1167691e+02	1.7922470e+18	5.2379032e-02
1.5209449e+06	2.1167691e+02	1.7744139e+18	5.1857852e-02
1.5317240e+06	2.1167691e+02	1.7567581e+18	5.1341858e-02
1.5425032e+06	2.1167691e+02	1.7392781e+18	5.0830998e-02
1.5532823e+06	2.1167691e+02	1.7219720e+18	5.0325221e-02
1.5640615e+06	2.1167691e+02	1.7048381e+18	4.9824477e-02
1.5748407e+06	2.1167691e+02	1.6878747e+18	4.9328715e-02
1.5856198e+06	2.1167691e+02	1.6710800e+18	4.8837886e-02
1.5963990e+06	2.1167691e+02	1.6544525e+18	4.8351941e-02
1.6071782e+06	2.1167691e+02	1.6379904e+18	4.7870831e-02
1.6179573e+06	2.1167691e+02	1.6216922e+18	4.7394508e-02
1.6287365e+06	2.1167691e+02	1.6055561e+18	4.6922925e-02
1.6395156e+06	2.1167691e+02	1.5895805e+18	4.6456034e-02
1.6502948e+06	2.1167691e+02	1.5737639e+18	4.5993789e-02
1.6610740e+06	2.1167691e+02	1.5581047e+18	4.5536143e-02
1.6718531e+06	2.1167691e+02	1.5426013e+18	4.5083051e-02
1.6826323e+06	2.1167691e+02	1.5272522e+18	4.4634467e-02
1.6934114e+06	2.1167691e+02	1.5120557e+18	4.4190347e-02
1.7041906e+06	2.1167691e+02	1.4970105e+18	4.3750645e-02
1.7149698e+06	2.1167691e+02	1.4821150e+18	4.3315319e-02
1.7257489e+06	2.1167691e+02	1.4673677e+18	4.2884324e-02
1.7365281e+06	2.1167691e+02	1.4527672e+18	4.2457618e-02
1.7473073e+06	2.1167691e+02	1.4383119e+18	4.2035158e-02
1.7580864e+06	2.1167691e+02	1.4240005e+18	4.1616901e-02
1.7688656e+06	2.1167691e+02	1.4098314e+18	4.1202806e-02
1.7796447e+06	2.1167691e+02	1.3958034e+18	4.0792831e-02
1.7904239e+06	2.1167691e+02	1.3819149e+18	4.0386936e-02
1.8012031e+06	2.1167691e+02	1.3681646e+18	3.9985079e-02
1.8119822e+06	2.1167691e+02	1.3545512e+18	3.9587221e-02
1.8227614e+06	2.1167691e+02	1.3410731e+18	3.9193321e-02
1.8335405e+06	2.1167691e+02	1.3277292e+18	3.8803341e-02
1.8443197e+06	2.1167691e+02	1.3145181e+18	3.8417242e-02
1.8550989e+06	2.1167691e+02	1.3014384e+18	3.8034984e-02
1.8658780e+06	2.1167691e+02	1.2884889e+18	3.7656529e-02
1.8766572e+06	2.1167691e+02	1.2756682e+18	3.7281841e-02
1.8874364e+06	2.1167691e+02	1.2629751e+18	3.6910880e-02
1.8982155e+06	2.1167691e+02	1.2504083e+18	3.6543611e-02
1.9089947e+06	2.1167691e+02	1.2379665e+18	3.6179996e-02
1.9197738e+06	2.1167691e+02	1.2256486e+18	3.5819999e-02
1.9305530e+06	2.1167691e+02	1.2134532e+18	3.5463584e-02
1.9413322e+06	2.1167691e+02	1.2013791e+18	3.5110715e-02
1.9521113e+06	2.1167691e+02	1.1894252e+18	3.4761358e-02
1.9628905e+06	2.1167691e+02	1.1775902e+18	3.4415477e-02
1.9736696e+06	2.1167691e+02	1.1658730e+18	3.4073037e-02
1.9844488e+06	2.1167691e+02	1.1542724e+18	3.3734004e-02
1.9952280e+06	2.1167691e+02	1.1427871e+18	3.3398345e-02
2.0060071e+06	2.1167691e+02	1.1314162e+18	3.3066026e-02
2.0167863e+06	2.1167691e+02	1.1201584e+18	3.2737014e-02
2.0275655e+06	2.1167691e+02	1.1090127e+18	3.2411275e-02
2.0383446e+06	2.1167691e+02	1.0979778e+18	3.2088778e-02
2.0491238e+06	2.1167691e+02	1.0870528e+18	3.1769489e-02
2.0599029e+06	2.1167691e+02	1.0762364e+18	3.1453377e-02
2.0706821e+06	2.1167691e+02	1.0655277e+18	3.1140411e-02
2.0814613e+06	2.1167691e+02	1.0549255e+18	3.0830559e-02
2.0922404e+06	2.1167691e+02	1.0444288e+18	3.0523789e-02
2.1030196e+06	2.1167691e+02	1.0340366e+18	3.0220073e-02
2.1137987e+06	2.1167691e+02	1.0237477e+18	2.9919378e-02
2.1245779e+06	2.1167691e+02	1.0135613e+18	2.9621675e-02
2.1353571e+06	2.1167691e+02	1.0034762e+18	2.9326935e-02
2.1461362e+06	2.1167691e+02	9.9349142e+17	2.9035127e-02
2.1569154e+06	2.1167691e+02	9.8360602e+17	2.8746222e-02
2.1676946e+06	2.1167691e+02	9.7381897e+17	2.8460193e-02
2.1784737e+06	2.1167691e+02	9.6412931e+17	2.8177009e-02
2.1892529e+06	2.1167691e+02	9.5453606e+17	2.7896643e-02
2.2000320e+06	2.1167691e+02	9.4503827e+17	2.7619067e-02
2.2108112e+06	2.1167691e+02	9.3563498e+17	2.7344253e-02
2.2215904e+06	2.1167691e+02	9.2632526e+17	2.7072173e-02
2.2323695e+06	2.1167691e+02	9.1710817e+17	2.6802800e-02
2.2431487e+06	2.1167691e+02	9.0798279e+17	2.6536108e-02
2.2539279e+06	2.1167691e+02	8.9894821e+17	2.6272069e-02
2.2647070e+06	2.1167691e+02	8.9000353e+17	2.6010658e-02
2.2754862e+06	2.1167691e+02	8.8114784e+17	2.5751847e-02
2.2862653e+06	2.1167691e+02	8.7238028e+17	2.5495612e-02
2.2970445e+06	2.1167691e+02	8.6369995e+17	2.5241927e-02
2.3078237e+06	2.1167691e+02	8.5510599e+17	2.4990765e-02
2.3186028e+06	2.1167691e+02	8.4659754e+17	2.4742103e-02
2.3293820e+06	2.1167691e+02	8.3817376e+17	2.4495915e-02
2.3401611e+06	2.1167691e+02	8.2983379e+17	2.4252176e-02
2.3509403e+06	2.1167691e+02	8.2157680e+17	2.4010863e-02
2.3617195e+06	2.1167691e+02	8.1340198e+17	2.3771951e-02
2.3724986e+06	2.1167691e+02	8.0530849e+17	2.3535416e-02
2.3832778e+06	2.1167691e+02	7.9729554e+17	2.3301235e-02
2.3940570e+06	2.1167691e+02	7.8936232e+17	2.3069384e-02
2.4048361e+06	2.1167691e+02	7.8150803e+17	2.2839840e-02
2.4156153e+06	2.1167691e+02	7.7373190e+17	2.2612579e-02
2.4263944e+06	2.1167691e+02	7.6603313e+17	2.2387580e-02
2.4371736e+06	2.1167691e+02	7.5841098e+17	2.2164820e-02
2.4479528e+06	2.1167691e+02	7.5086466e+17	2.1944277e-02
2.4587319e+06	2.1167691e+02	7.4339343e+17	2.1725927e-02
2.4695111e+06	2.1167691e+02	7.3599655e+17	2.1509751e-02
2.4802902e+06	2.1167691e+02	7.2867326e+17	2.1295725e-02
2.4910694e+06	2.1167691e+02	7.2142284e+17	2.1083829e-02
2.5018486e+06	2.1167691e+02	7.1424456e+17	2.0874042e-02
2.5126277e+06	2.1167691e+02	7.0713771e+17	2.0666341e-02
2.5234069e+06	2.1167691e+02	7.0010157e+17	2.0460708e-02
2.5341861e+06	2.1167691e+02	6.9313544e+17	2.0257121e-02
2.5449652e+06	2.1167691e+02	6.8623863e+17	2.0055559e-02
2.5557444e+06	2.1167691e+02	6.7941044e+17	1.9856003e-02
2.5665235e+06	2.1167691e+02	6.7265020e+17	1.9658432e-02
2.5773027e+06	2.1167691e+02	6.6595721e+17	1.9462827e-02
2.5880819e+06	2.1167691e+02	6.5933083e+17	1.9269169e-02
2.5988610e+06	2.1167691e+02	6.5277038e+17	1.9077438e-02
2.6096402e+06	2.1167691e+02	6.4627520e+17	1.8887614e-02
2.6204193e+06	2.1167691e+02	6.3984466e+17	1.8699679e-02
2.6311985e+06	2.1167691e+02	6.3347810e+17	1.8513614e-02
2.6419777e+06	2.1167691e+02	6.2717489e+17	1.8329401e-02
2.6527568e+06	2.1167691e+02	6.2093439e+17	1.8147020e-02
2.6635360e+06	2.1167691e+02	6.1475599e+17	1.7966454e-02
2.6743152e+06	2.1167691e+02	6.0863907e+17	1.7787685e-02
2.6850943e+06	2.1167691e+02	6.0258301e+17	1.7610695e-02
2.6958735e+06	2.1167691e+02	5.9658721e+17	1.7435465e-02
2.7066526e+06	2.1167691e+02	5.9065106e+17	1.7261979e-02
2.7174318e+06	2.1167691e+02	5.8477399e+17	1.7090220e-02
2.7282110e+06	2.1167691e+02	5.7895539e+17	1.6920169e-02
2.7389901e+06	2.1167691e+02	5.7319469e+17	1.6751811e-02
2.7497693e+06	2.1167691e+02	5.6749130e+17	1.6585128e-02
2.7605484e+06	2.1167691e+02	5.6184467e+17	1.6420103e-02
2.7713276e+06	2.1167691e+02	5.5625422e+17	1.6256720e-02
2.7821068e+06	2.1167691e+02	5.5071940e+17	1.6094963e-02
2.7928859e+06	2.1167691e+02	5.4523965e+17	1.5934815e-02
2.8036651e+06	2.1167691e+02	5.3981443e+17	1.5776261e-02
2.8144443e+06	2.1167691e+02	5.3444318e+17	1.5619285e-02
2.8252234e+06	2.1167691e+02	5.2912538e+17	1.5463870e-02
2.8360026e+06	2.1167691e+02	5.2386050e+17	1.5310002e-02
2.8467817e+06	2.1167691e+02	5.1864800e+17	1.5157665e-02
2.8575609e+06	2.1167691e+02	5.1348737e+17	1.5006844e-02
2.8683401e+06	2.1167691e+02	5.0837808e+17	1.4857523e-02
2.8791192e+06	2.1167691e+02	5.0331964e+17	1.4709689e-02
2.8898984e+06	2.1167691e+02	4.9831152e+17	1.4563325e-02
2.9006775e+06	2.1167691e+02	4.9335324e+17	1.4418417e-02
2.9114567e+06	2.1167691e+02	4.8844429e+17	1.4274952e-02
2.9222359e+06	2.1167691e+02	4.8358419e+17	1.4132913e-02
2.9330150e+06	2.1167691e+02	4.7877245e+17	1.3992289e-02
2.9437942e+06	2.1167691e+02	4.7400858e+17	1.3853063e-02
2.9545734e+06	2.1167691e+02	4.6929212e+17	1.3715223e-02
2.9653525e+06	2.1167691e+02	4.6462258e+17	1.3578754e-02
2.9761317e+06	2.1167691e+02	4.5999951e+17	1.3443643e-02
2.9869108e+06	2.1167691e+02	4.5542244e+17	1.3309877e-02
2.9976900e+06	2.1167691e+02	4.5089091e+17	1.3177441e-02
3.0084692e+06	2.1167691e+02	4.4640447e+17	1.3046323e-02
3.0192483e+06	2.1167691e+02	4.4196267e+17	1.2916510e-02
3.0300275e+06	2.1167691e+02	4.3756507e+17	1.2787989e-02
3.0408067e+06	2.1167691e+02	4.3321122e+17	1.2660746e-02
3.0515858e+06	2.1167691e+02	4.2890070e+17	1.2534770e-02
3.0623650e+06	2.1167691e+02	4.2463307e+17	1.2410047e-02
3.0731441e+06	2.1167691e+02	4.2040790e+17	1.2286565e-02
3.0839233e+06	2.1167691e+02	4.1622477e+17	1.2164311e-02
3.0947025e+06	2.1167691e+02	4.1208326e+17	1.2043274e-02
3.1054816e+06	2.1167691e+02	4.0798297e+17	1.1923442e-02
3.1162608e+06	2.1167691e+02	4.0392347e+17	1.1804802e-02
3.1270399e+06	2.1167691e+02	3.9990436e+17	1.1687342e-02
